nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
ANTHEM INC 	COM	036752103	2497	8700	SH	DFND	8700	0	0
ANTHEM INC 	COM	036752103	5826	20300	SH	DFND	20300	0	0
ANWORTH MORTGAGE ASSET CP 	COM	037347101	45	11200	SH	DFND	11200	0	0
AON PLC 	SHS CL A	G0408V102	4268	25000	SH	DFND	25000	0	0
AON PLC 	SHS CL A	G0408V102	1263	7400	SH	DFND	7400	0	0
APACHE CORP 	COM	037411105	3179	91733	SH	DFND	91733	0	0
APACHE CORP 	COM	037411105	28	800	SH	DFND	800	0	0
APACHE CORP 	COM	037411105	4416	127400	SH	DFND	127400	0	0
APHRIA INC	COM	03765K104	40	4258	SH	DFND	4258	0	0
APHRIA INC	COM	03765K104	273	29300	SH	DFND	29300	0	0
APHRIA INC	COM	03765K104	234	25100	SH	DFND	25100	0	0
APOLLO COML REAL EST FIN INC 	COM	03762U105	24	1316	SH	DFND	1316	0	0
APOLLO COML REAL EST FIN INC 	COM	03762U105	528	29000	SH	DFND	29000	0	0
APOLLO GLOBAL MGMT LLC 	CL A SHS	037612306	4791	169576	SH	DFND	169576	0	0
APOLLO GLOBAL MGMT LLC 	CL A SHS	037612306	283	10000	SH	DFND	10000	0	0
APOLLO GLOBAL MGMT LLC 	CL A SHS	037612306	3455	122300	SH	DFND	122300	0	0
APPFOLIO INC 	COM CL A	03783C100	1080	13600	SH	DFND	13600	0	0
APPIAN CORP 	CL A	03782L101	843	24483	SH	DFND	24483	0	0
APPIAN CORP 	CL A	03782L101	272	7900	SH	DFND	7900	0	0
APPIAN CORP 	CL A	03782L101	3188	92600	SH	DFND	92600	0	0
APPLE HOSPITALITY REIT INC 	COM NEW	03784Y200	170	10445	SH	DFND	10445	0	0
APPLE HOSPITALITY REIT INC 	COM NEW	03784Y200	183	11200	SH	DFND	11200	0	0
APPLE HOSPITALITY REIT INC 	COM NEW	03784Y200	186	11400	SH	DFND	11400	0	0
APPLE INC 	COM	037833100	96267	506800	SH	DFND	506800	0	0
APPLE INC 	COM	037833100	61012	321200	SH	DFND	321200	0	0
APPLIED MATLS INC 	COM	038222105	14583	367700	SH	DFND	367700	0	0
APPLIED MATLS INC 	COM	038222105	11458	288900	SH	DFND	288900	0	0
APPLIED OPTOELECTRONICS INC 	COM	03823U102	114	9334	SH	DFND	9334	0	0
APPLIED OPTOELECTRONICS INC 	COM	03823U102	842	69000	SH	DFND	69000	0	0
APTARGROUP INC 	COM	038336103	1234	11600	SH	DFND	11600	0	0
APTARGROUP INC 	COM	038336103	192	1800	SH	DFND	1800	0	0
APTIV PLC 	SHS	G6095L109	1376	17309	SH	DFND	17309	0	0
APTIV PLC 	SHS	G6095L109	1486	18700	SH	DFND	18700	0	0
APYX MED CORP	COM	03837C106	307	48605	SH	DFND	48605	0	0
ARAMARK 	COM	03852U106	810	27406	SH	DFND	27406	0	0
ARAMARK 	COM	03852U106	473	16000	SH	DFND	16000	0	0
ARBOR RLTY TR INC 	COM	038923108	303	23400	SH	DFND	23400	0	0
ARBOR RLTY TR INC 	COM	038923108	472	36400	SH	DFND	36400	0	0
ARCELORMITTAL SA LUXEMBOURG 	NY REGISTRY SH	03938L203	245	12000	SH	DFND	12000	0	0
ARCELORMITTAL SA LUXEMBOURG 	NY REGISTRY SH	03938L203	51	2500	SH	DFND	2500	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	624	14477	SH	DFND	14477	0	0
ARCHER DANIELS MIDLAND CO	COM	039483102	1380	32000	SH	DFND	32000	0	0
ARCHROCK INC 	COM	03957W106	85	8703	SH	DFND	8703	0	0
ARCHROCK INC 	COM	03957W106	154	15700	SH	DFND	15700	0	0
